x,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V
-53.493,-0.000134546,-0.000075016,-0.000045327,-0.000025054,-0.000012499,-0.000007078,-0.000000337
-53.71,-0.000135036,-0.000075235,-0.00004539,-0.000025075,-0.000012504,-0.000007079,-0.00000034
-53.926,-0.000135525,-0.000075453,-0.000045452,-0.000025096,-0.000012509,-0.00000708,-0.000000344
-54.143,-0.000136013,-0.00007567,-0.000045513,-0.000025117,-0.000012514,-0.000007081,-0.000000348
-54.359,-0.0001365,-0.000075887,-0.000045574,-0.000025137,-0.000012519,-0.000007082,-0.000000352
-54.576,-0.000136986,-0.000076102,-0.000045633,-0.000025157,-0.000012524,-0.000007082,-0.000000355
-54.792,-0.000137471,-0.000076317,-0.000045692,-0.000025177,-0.000012529,-0.000007083,-0.000000359
-55.009,-0.000137955,-0.000076531,-0.00004575,-0.000025197,-0.000012534,-0.000007084,-0.000000363
-55.225,-0.000138438,-0.000076744,-0.000045807,-0.000025217,-0.00001254,-0.000007085,-0.000000367
-55.442,-0.00013892,-0.000076956,-0.000045864,-0.000025237,-0.000012545,-0.000007085,-0.00000037
-55.658,-0.000139401,-0.000077167,-0.00004592,-0.000025256,-0.00001255,-0.000007086,-0.000000374
-55.875,-0.00013988,-0.000077377,-0.000045975,-0.000025275,-0.000012555,-0.000007087,-0.000000378
-56.091,-0.000140359,-0.000077587,-0.000046029,-0.000025294,-0.00001256,-0.000007087,-0.000000382
-56.308,-0.000140837,-0.000077795,-0.000046083,-0.000025313,-0.000012565,-0.000007088,-0.000000386
-56.524,-0.000141313,-0.000078003,-0.000046136,-0.000025332,-0.00001257,-0.000007088,-0.000000389
-56.741,-0.000141788,-0.00007821,-0.000046188,-0.000025351,-0.000012576,-0.000007089,-0.000000393
-56.957,-0.000142263,-0.000078416,-0.00004624,-0.000025369,-0.000012581,-0.000007089,-0.000000397
-57.174,-0.000142736,-0.000078621,-0.000046291,-0.000025388,-0.000012586,-0.00000709,-0.000000401
-57.39,-0.000143208,-0.000078825,-0.000046341,-0.000025406,-0.000012591,-0.00000709,-0.000000404
-57.607,-0.000143679,-0.000079028,-0.000046391,-0.000025424,-0.000012597,-0.000007091,-0.000000408
-57.823,-0.000144149,-0.00007923,-0.000046441,-0.000025442,-0.000012602,-0.000007091,-0.000000412
-58.04,-0.000144617,-0.000079432,-0.00004649,-0.00002546,-0.000012607,-0.000007092,-0.000000416
-58.256,-0.000145085,-0.000079632,-0.000046538,-0.000025478,-0.000012612,-0.000007092,-0.000000419
-58.473,-0.000145551,-0.000079832,-0.000046586,-0.000025496,-0.000012618,-0.000007092,-0.000000423
-58.689,-0.000146016,-0.00008003,-0.000046633,-0.000025513,-0.000012623,-0.000007093,-0.000000427
-58.906,-0.00014648,-0.000080228,-0.000046679,-0.000025531,-0.000012628,-0.000007093,-0.000000431
-59.122,-0.000146943,-0.000080425,-0.000046726,-0.000025548,-0.000012634,-0.000007093,-0.000000435
-59.339,-0.000147405,-0.00008062,-0.000046771,-0.000025565,-0.000012639,-0.000007093,-0.000000438
-59.555,-0.000147865,-0.000080815,-0.000046817,-0.000025582,-0.000012644,-0.000007094,-0.000000442
-59.772,-0.000148324,-0.000081009,-0.000046861,-0.000025599,-0.00001265,-0.000007094,-0.000000446
-59.988,-0.000148782,-0.000081202,-0.000046906,-0.000025616,-0.000012655,-0.000007094,-0.00000045
-60.205,-0.000149239,-0.000081394,-0.00004695,-0.000025633,-0.00001266,-0.000007094,-0.000000453
-60.421,-0.000149694,-0.000081585,-0.000046993,-0.00002565,-0.000012666,-0.000007094,-0.000000457
-60.638,-0.000150148,-0.000081775,-0.000047036,-0.000025667,-0.000012671,-0.000007094,-0.000000461
-60.854,-0.000150601,-0.000081964,-0.000047079,-0.000025683,-0.000012676,-0.000007095,-0.000000465
-61.071,-0.000151053,-0.000082152,-0.000047121,-0.0000257,-0.000012682,-0.000007095,-0.000000468
-61.287,-0.000151503,-0.00008234,-0.000047163,-0.000025716,-0.000012687,-0.000007095,-0.000000472
-61.504,-0.000151952,-0.000082526,-0.000047204,-0.000025733,-0.000012693,-0.000007095,-0.000000476
-61.72,-0.0001524,-0.000082711,-0.000047245,-0.000025749,-0.000012698,-0.000007095,-0.00000048
-61.937,-0.000152846,-0.000082895,-0.000047286,-0.000025765,-0.000012703,-0.000007095,-0.000000483
-62.153,-0.000153291,-0.000083078,-0.000047327,-0.000025781,-0.000012709,-0.000007095,-0.000000487
-62.37,-0.000153735,-0.00008326,-0.000047367,-0.000025797,-0.000012714,-0.000007095,-0.000000491
-62.586,-0.000154177,-0.000083442,-0.000047407,-0.000025813,-0.00001272,-0.000007095,-0.000000495
-62.803,-0.000154618,-0.000083622,-0.000047446,-0.000025829,-0.000012725,-0.000007095,-0.000000499
-63.019,-0.000155058,-0.000083801,-0.000047485,-0.000025845,-0.000012731,-0.000007095,-0.000000502
-63.236,-0.000155496,-0.000083979,-0.000047524,-0.000025861,-0.000012736,-0.000007094,-0.000000506
-63.452,-0.000155932,-0.000084156,-0.000047563,-0.000025876,-0.000012742,-0.000007094,-0.00000051
-63.669,-0.000156368,-0.000084332,-0.000047601,-0.000025892,-0.000012747,-0.000007094,-0.000000514
-63.885,-0.000156802,-0.000084507,-0.000047639,-0.000025908,-0.000012753,-0.000007094,-0.000000517
-64.102,-0.000157234,-0.000084681,-0.000047677,-0.000025923,-0.000012758,-0.000007094,-0.000000521
-64.318,-0.000157665,-0.000084854,-0.000047715,-0.000025939,-0.000012764,-0.000007094,-0.000000525
-64.535,-0.000158095,-0.000085026,-0.000047752,-0.000025954,-0.000012769,-0.000007094,-0.000000529
-64.751,-0.000158523,-0.000085196,-0.000047789,-0.000025969,-0.000012775,-0.000007093,-0.000000532
-64.968,-0.00015895,-0.000085366,-0.000047826,-0.000025984,-0.00001278,-0.000007093,-0.000000536
-65.184,-0.000159375,-0.000085534,-0.000047862,-0.000026,-0.000012786,-0.000007093,-0.00000054
-65.401,-0.000159798,-0.000085702,-0.000047899,-0.000026015,-0.000012791,-0.000007093,-0.000000544
-65.617,-0.00016022,-0.000085868,-0.000047935,-0.00002603,-0.000012797,-0.000007092,-0.000000548
-65.834,-0.000160641,-0.000086033,-0.000047971,-0.000026045,-0.000012802,-0.000007092,-0.000000551
-66.05,-0.00016106,-0.000086197,-0.000048006,-0.00002606,-0.000012808,-0.000007092,-0.000000555
-66.267,-0.000161477,-0.00008636,-0.000048042,-0.000026075,-0.000012813,-0.000007091,-0.000000559
-66.483,-0.000161893,-0.000086522,-0.000048077,-0.00002609,-0.000012819,-0.000007091,-0.000000563
-66.7,-0.000162307,-0.000086683,-0.000048112,-0.000026105,-0.000012825,-0.000007091,-0.000000566
-66.916,-0.00016272,-0.000086842,-0.000048147,-0.000026119,-0.00001283,-0.00000709,-0.00000057
-67.133,-0.000163131,-0.000087,-0.000048182,-0.000026134,-0.000012836,-0.00000709,-0.000000574
-67.349,-0.00016354,-0.000087157,-0.000048216,-0.000026149,-0.000012841,-0.00000709,-0.000000578
-67.566,-0.000163948,-0.000087313,-0.000048251,-0.000026163,-0.000012847,-0.000007089,-0.000000581
-67.782,-0.000164354,-0.000087468,-0.000048285,-0.000026178,-0.000012853,-0.000007089,-0.000000585
-67.999,-0.000164758,-0.000087621,-0.000048319,-0.000026193,-0.000012858,-0.000007088,-0.000000589
-68.215,-0.000165161,-0.000087773,-0.000048353,-0.000026207,-0.000012864,-0.000007088,-0.000000593
-68.432,-0.000165562,-0.000087924,-0.000048386,-0.000026221,-0.000012869,-0.000007088,-0.000000597
-68.648,-0.000165961,-0.000088074,-0.00004842,-0.000026236,-0.000012875,-0.000007087,-0.0000006
-68.865,-0.000166358,-0.000088222,-0.000048453,-0.00002625,-0.000012881,-0.000007087,-0.000000604
-69.081,-0.000166754,-0.00008837,-0.000048486,-0.000026265,-0.000012886,-0.000007086,-0.000000608
-69.298,-0.000167147,-0.000088515,-0.000048519,-0.000026279,-0.000012892,-0.000007086,-0.000000612
-69.514,-0.000167539,-0.00008866,-0.000048552,-0.000026293,-0.000012897,-0.000007085,-0.000000615
-69.731,-0.00016793,-0.000088803,-0.000048584,-0.000026307,-0.000012903,-0.000007085,-0.000000619
-69.947,-0.000168318,-0.000088945,-0.000048617,-0.000026321,-0.000012909,-0.000007084,-0.000000623
-70.164,-0.000168704,-0.000089085,-0.000048649,-0.000026336,-0.000012914,-0.000007084,-0.000000627
-70.38,-0.000169089,-0.000089224,-0.000048681,-0.00002635,-0.00001292,-0.000007083,-0.00000063
-70.597,-0.000169472,-0.000089362,-0.000048713,-0.000026364,-0.000012926,-0.000007082,-0.000000634
-70.813,-0.000169852,-0.000089498,-0.000048745,-0.000026378,-0.000012931,-0.000007082,-0.000000638
-71.03,-0.000170231,-0.000089633,-0.000048777,-0.000026392,-0.000012937,-0.000007081,-0.000000642
-71.246,-0.000170608,-0.000089767,-0.000048809,-0.000026406,-0.000012943,-0.000007081,-0.000000645
-71.463,-0.000170983,-0.000089899,-0.00004884,-0.000026419,-0.000012948,-0.00000708,-0.000000649
-71.679,-0.000171356,-0.00009003,-0.000048871,-0.000026433,-0.000012954,-0.000007079,-0.000000653
-71.895,-0.000171727,-0.000090159,-0.000048903,-0.000026447,-0.00001296,-0.000007079,-0.000000657
-72.112,-0.000172096,-0.000090287,-0.000048934,-0.000026461,-0.000012966,-0.000007078,-0.000000661
-72.328,-0.000172462,-0.000090413,-0.000048965,-0.000026475,-0.000012971,-0.000007077,-0.000000664
-72.545,-0.000172827,-0.000090538,-0.000048995,-0.000026488,-0.000012977,-0.000007077,-0.000000668
-72.761,-0.00017319,-0.000090661,-0.000049026,-0.000026502,-0.000012983,-0.000007076,-0.000000672
-72.978,-0.00017355,-0.000090783,-0.000049057,-0.000026516,-0.000012988,-0.000007075,-0.000000676
-73.194,-0.000173908,-0.000090904,-0.000049087,-0.000026529,-0.000012994,-0.000007075,-0.000000679
-73.411,-0.000174264,-0.000091023,-0.000049118,-0.000026543,-0.000013,-0.000007074,-0.000000683
-73.627,-0.000174618,-0.000091141,-0.000049148,-0.000026557,-0.000013006,-0.000007073,-0.000000687
-73.844,-0.00017497,-0.000091257,-0.000049178,-0.00002657,-0.000013011,-0.000007072,-0.000000691
-74.06,-0.000175319,-0.000091372,-0.000049208,-0.000026584,-0.000013017,-0.000007072,-0.000000694
-74.277,-0.000175667,-0.000091485,-0.000049238,-0.000026597,-0.000013023,-0.000007071,-0.000000698
-74.493,-0.000176011,-0.000091597,-0.000049267,-0.00002661,-0.000013028,-0.00000707,-0.000000702
-74.71,-0.000176354,-0.000091707,-0.000049297,-0.000026624,-0.000013034,-0.000007069,-0.000000706
-74.926,-0.000176694,-0.000091816,-0.000049327,-0.000026637,-0.00001304,-0.000007069,-0.00000071
-75.143,-0.000177032,-0.000091924,-0.000049356,-0.000026651,-0.000013046,-0.000007068,-0.000000713
-75.359,-0.000177367,-0.00009203,-0.000049385,-0.000026664,-0.000013051,-0.000007067,-0.000000717
-75.576,-0.0001777,-0.000092135,-0.000049415,-0.000026677,-0.000013057,-0.000007066,-0.000000721
-75.792,-0.00017803,-0.000092238,-0.000049444,-0.000026691,-0.000013063,-0.000007065,-0.000000725
-76.009,-0.000178358,-0.000092339,-0.000049473,-0.000026704,-0.000013069,-0.000007065,-0.000000728
-76.225,-0.000178684,-0.00009244,-0.000049502,-0.000026717,-0.000013074,-0.000007064,-0.000000732
-76.442,-0.000179007,-0.000092539,-0.00004953,-0.00002673,-0.00001308,-0.000007063,-0.000000736
-76.658,-0.000179327,-0.000092636,-0.000049559,-0.000026743,-0.000013086,-0.000007062,-0.00000074
-76.875,-0.000179645,-0.000092732,-0.000049588,-0.000026757,-0.000013092,-0.000007061,-0.000000743
-77.091,-0.00017996,-0.000092827,-0.000049616,-0.00002677,-0.000013098,-0.00000706,-0.000000747
-77.308,-0.000180272,-0.00009292,-0.000049645,-0.000026783,-0.000013103,-0.000007059,-0.000000751
-77.524,-0.000180581,-0.000093012,-0.000049673,-0.000026796,-0.000013109,-0.000007059,-0.000000755
-77.741,-0.000180888,-0.000093103,-0.000049701,-0.000026809,-0.000013115,-0.000007058,-0.000000758
-77.957,-0.000181192,-0.000093192,-0.000049729,-0.000026822,-0.000013121,-0.000007057,-0.000000762
-78.174,-0.000181493,-0.00009328,-0.000049757,-0.000026835,-0.000013127,-0.000007056,-0.000000766
-78.39,-0.000181792,-0.000093366,-0.000049785,-0.000026848,-0.000013132,-0.000007055,-0.00000077
-78.607,-0.000182087,-0.000093452,-0.000049813,-0.000026861,-0.000013138,-0.000007054,-0.000000774
