x,-10V,-20v,-30v,-40v
-9.987,-3.3233,-10.574,-17.6733,-23.3344
-9,-3.2987,-9.8065,-16.116,-21.259
-8,-3.2235,-9.0152,-14.5316,-19.0727
-7,-3.0616,-8.184,-12.9316,-16.8475
-6,-2.8138,-7.2479,-11.3017,-14.5723
-5,-2.5055,-6.1928,-9.6104,-12.2021
-4,-2.1487,-5.1002,-7.8078,-9.8027
-3,-1.7337,-3.9709,-5.9006,-7.4246
-2,-1.2312,-2.7647,-4.0541,-5.0456
-1,-0.6113,-1.4166,-2.0531,-2.6274
0,0.2025,0.0755,0.2568,0.2216
1.73609e-08,0.2025,0.0755,0.2568,0.2216
