Len,Osc,Die,Vg,Vd,Id
11,30,105,-11.8,-35,0.000000215
11,30,105,-11.6,-35,0.000000209
11,30,105,-11.4,-35,0.000000203
11,30,105,-11.2,-35,0.000000197
11,30,105,-11,-35,0.000000191
11,30,105,-10.8,-35,0.000000185
11,30,105,-10.6,-35,0.000000179
11,30,105,-10.4,-35,0.000000173
11,30,105,-10.2,-35,0.000000168
11,30,105,-10,-35,0.000000162
11,30,105,-9.8,-35,0.000000157
11,30,105,-9.6,-35,0.000000152
11,30,105,-9.4,-35,0.000000147
11,30,105,-9.2,-35,0.000000142
11,30,105,-9,-35,0.000000137
11,30,105,-8.8,-35,0.000000132
11,30,105,-8.6,-35,0.000000127
11,30,105,-8.4,-35,0.000000122
11,30,105,-8.2,-35,0.000000118
11,30,105,-8,-35,0.000000113
11,30,105,-7.8,-35,0.000000109
11,30,105,-7.6,-35,0.000000105
11,30,105,-7.4,-35,0.0000001
11,30,105,-7.2,-35,9.63E-08
11,30,105,-7,-35,9.23E-08
11,30,105,-6.8,-35,8.84E-08
11,30,105,-6.6,-35,8.45E-08
11,30,105,-6.4,-35,8.08E-08
11,30,105,-6.2,-35,7.72E-08
11,30,105,-6,-35,7.36E-08
11,30,105,-5.8,-35,7.02E-08
11,30,105,-5.6,-35,6.68E-08
11,30,105,-5.4,-35,6.35E-08
11,30,105,-5.2,-35,6.03E-08
11,30,105,-5,-35,5.72E-08
11,30,105,-4.8,-35,5.42E-08
11,30,105,-4.6,-35,5.13E-08
11,30,105,-4.4,-35,4.85E-08
11,30,105,-4.2,-35,4.57E-08
11,30,105,-4,-35,0.000000043
11,30,105,-3.8,-35,4.05E-08
11,30,105,-3.6,-35,0.000000038
11,30,105,-3.4,-35,3.56E-08
11,30,105,-3.2,-35,3.33E-08
11,30,105,-3,-35,0.000000031
11,30,105,-2.8,-35,2.89E-08
11,30,105,-2.6,-35,2.68E-08
11,30,105,-2.4,-35,2.49E-08
11,30,105,-2.2,-35,0.000000023
11,30,105,-2,-35,2.12E-08
11,30,105,-1.8,-35,1.94E-08
11,30,105,-1.6,-35,1.78E-08
11,30,105,-1.4,-35,1.62E-08
11,30,105,-1.2,-35,1.47E-08
11,30,105,-1,-35,1.33E-08
11,30,105,-0.8,-35,0.000000012
11,30,105,-0.6,-35,1.07E-08
11,30,105,-0.4,-35,9.57E-09
11,30,105,-0.2,-35,8.47E-09
11,30,105,0,-35,7.44E-09
11,30,105,0.2,-35,6.49E-09
11,30,105,0.4,-35,5.62E-09
11,30,105,0.6,-35,4.81E-09
11,30,105,0.8,-35,4.07E-09
11,30,105,1,-35,3.40E-09
11,30,105,1.2,-35,2.79E-09
11,30,105,1.4,-35,2.25E-09
11,30,105,1.6,-35,1.77E-09
11,30,105,1.8,-35,1.36E-09
11,30,105,2,-35,0.000000001
11,30,105,2.2,-35,7.02E-10
11,30,105,2.4,-35,4.59E-10
11,30,105,2.6,-35,2.70E-10
11,30,105,2.8,-35,1.34E-10
11,30,105,3,-35,4.77E-11
11,30,105,3.2,-35,6.94E-12
11,30,105,3.4,-35,1.47E-13
11,30,105,3.6,-35,1.22E-13
11,30,105,3.8,-35,1.22E-13
11,30,105,4,-35,1.22E-13
11,30,105,4.2,-35,1.22E-13
11,30,105,4.4,-35,1.22E-13
11,30,105,4.6,-35,1.22E-13
11,30,105,4.8,-35,1.22E-13
11,30,105,5,-35,1.22E-13
11,30,105,5.2,-35,1.22E-13
11,30,105,5.4,-35,1.22E-13
11,30,105,5.6,-35,1.22E-13
11,30,105,5.8,-35,1.22E-13
11,30,105,6,-35,1.22E-13
11,30,105,6.2,-35,1.22E-13
11,30,105,6.4,-35,1.22E-13
11,30,105,6.6,-35,1.22E-13
11,30,105,6.8,-35,1.22E-13
11,30,105,7,-35,1.22E-13
11,30,105,7.2,-35,1.22E-13
11,30,105,7.4,-35,1.22E-13
11,30,105,7.6,-35,1.22E-13
11,30,105,7.8,-35,1.22E-13
11,30,105,8,-35,1.22E-13
11,30,105,8.2,-35,1.22E-13
11,30,105,8.4,-35,1.22E-13
11,30,105,8.6,-35,1.22E-13
11,30,105,8.8,-35,1.22E-13
11,30,105,9,-35,1.22E-13
11,30,105,9.2,-35,1.23E-13
11,30,105,9.4,-35,1.23E-13
11,30,105,9.6,-35,1.23E-13
11,30,105,9.8,-35,1.23E-13
11,30,105,10,-35,1.23E-13
11,30,105,10.2,-35,1.23E-13
11,30,105,10.4,-35,1.23E-13
11,30,105,10.6,-35,1.23E-13
11,30,105,10.8,-35,1.23E-13
11,30,105,11,-35,1.23E-13
11,30,105,11.2,-35,1.23E-13
11,30,105,11.4,-35,1.23E-13
11,30,105,11.6,-35,1.23E-13
11,30,105,11.8,-35,1.23E-13
11,30,105,12,-35,1.23E-13
11,30,105,12.2,-35,1.23E-13
11,30,105,12.4,-35,1.23E-13
11,30,105,12.6,-35,1.23E-13
11,30,105,12.8,-35,1.23E-13
11,30,105,13,-35,1.23E-13
11,30,105,13.2,-35,1.23E-13
11,30,105,13.4,-35,1.23E-13
11,30,105,13.6,-35,1.23E-13
11,30,105,13.8,-35,1.23E-13
11,30,105,14,-35,1.24E-13
11,30,105,14.2,-35,1.24E-13
11,30,105,14.4,-35,1.24E-13
11,30,105,14.6,-35,1.24E-13
11,30,105,14.8,-35,1.24E-13
11,30,105,15,-35,1.24E-13
11,30,105,15.2,-35,1.24E-13
11,30,105,15.4,-35,1.24E-13
11,30,105,15.6,-35,1.24E-13
11,30,105,15.8,-35,1.24E-13
