x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-7.747,-0.05704,-0.04833,-0.03721,-0.0371,-0.02923,-0.02422,-0.01969,-0.01158,-0.01003,-0.00766,-0.00527
-7.187,-0.05296,-0.04453,-0.03427,-0.03451,-0.02709,-0.02247,-0.0184,-0.0105,-0.00919,-0.0067,-0.00475
-6.628,-0.04885,-0.04071,-0.03133,-0.03189,-0.02495,-0.02068,-0.0171,-0.00941,-0.00833,-0.00576,-0.00421
-6.069,-0.04471,-0.03688,-0.0284,-0.02925,-0.02279,-0.01885,-0.01578,-0.00829,-0.00746,-0.00483,-0.00365
-5.509,-0.04053,-0.03304,-0.02547,-0.02659,-0.02062,-0.01699,-0.01446,-0.00715,-0.00657,-0.00391,-0.00308
-4.95,-0.03632,-0.02919,-0.02253,-0.02391,-0.01844,-0.0151,-0.01313,-0.006,-0.00566,-0.00299,-0.00249
-4.391,-0.03207,-0.02532,-0.0196,-0.02121,-0.01624,-0.01317,-0.01179,-0.00482,-0.00475,-0.00208,-0.00189
-3.831,-0.02778,-0.02145,-0.01668,-0.0185,-0.01404,-0.01121,-0.01044,-0.00363,-0.00382,-0.00118,-0.00128
-3.272,-0.02345,-0.01758,-0.01375,-0.01577,-0.01184,-0.00923,-0.00909,-0.00243,-0.00288,-0.00028,-0.00066
-2.713,-0.01909,-0.01369,-0.01082,-0.01303,-0.00962,-0.00721,-0.00773,-0.0012,-0.00193,0.00062,-0.00002
-2.153,-0.0147,-0.0098,-0.00789,-0.01029,-0.0074,-0.00517,-0.00637,0.00003,-0.00098,0.00151,0.00062
-1.594,-0.01028,-0.00591,-0.00497,-0.00753,-0.00518,-0.00312,-0.005,0.00128,-0.00002,0.00241,0.00126
-1.035,-0.00583,-0.00201,-0.00204,-0.00476,-0.00295,-0.00104,-0.00363,0.00253,0.00094,0.0033,0.00192
-0.475,-0.00136,0.00188,0.00088,-0.00199,-0.00072,0.00104,-0.00226,0.00379,0.00191,0.00419,0.00257
0.084,0.00311,0.00578,0.00381,0.00078,0.00151,0.00314,-0.00088,0.00506,0.00288,0.00508,0.00323
