x,-120 V,-110 V,-100 V,-90 V,-80 V,-70 V,-60 V,-50 V,-40 V,-30 V,-20 V
-44.171,-0.29344,-0.23701,-0.19663,-0.14837,-0.11385,-0.08566,-0.05782,-0.04013,-0.02767,-0.0205,-0.00717
-43.612,-0.2906,-0.23474,-0.1951,-0.14737,-0.11309,-0.08517,-0.05747,-0.03992,-0.02765,-0.02059,-0.00715
-43.052,-0.28775,-0.23245,-0.19353,-0.14636,-0.11231,-0.08467,-0.0571,-0.03969,-0.02763,-0.02067,-0.00714
-42.493,-0.28489,-0.23015,-0.19194,-0.14533,-0.11151,-0.08414,-0.05674,-0.03944,-0.02761,-0.02074,-0.00712
-41.934,-0.28203,-0.22783,-0.19033,-0.14429,-0.1107,-0.0836,-0.05636,-0.03918,-0.0276,-0.02079,-0.0071
-41.374,-0.27916,-0.22549,-0.18868,-0.14323,-0.10987,-0.08305,-0.05599,-0.0389,-0.02758,-0.02081,-0.00709
-40.815,-0.27628,-0.22314,-0.18701,-0.14215,-0.10903,-0.08248,-0.05561,-0.03861,-0.02757,-0.02081,-0.00707
-40.256,-0.27341,-0.22078,-0.18531,-0.14106,-0.10818,-0.08191,-0.05522,-0.03831,-0.02755,-0.02079,-0.00705
-39.696,-0.27054,-0.2184,-0.18358,-0.13996,-0.10731,-0.08131,-0.05483,-0.038,-0.02754,-0.02073,-0.00703
-39.137,-0.26767,-0.21601,-0.18182,-0.13883,-0.10643,-0.08071,-0.05443,-0.03769,-0.02752,-0.02066,-0.00701
-38.578,-0.2648,-0.2136,-0.18002,-0.13769,-0.10553,-0.08009,-0.05403,-0.03738,-0.0275,-0.02057,-0.00699
-38.018,-0.26192,-0.21119,-0.1782,-0.13654,-0.10463,-0.07947,-0.05363,-0.03708,-0.02748,-0.02046,-0.00697
-37.459,-0.25904,-0.20876,-0.17634,-0.13536,-0.10371,-0.07883,-0.05322,-0.03679,-0.02747,-0.02035,-0.00695
-36.9,-0.25616,-0.20632,-0.17446,-0.13417,-0.10278,-0.07818,-0.05281,-0.03651,-0.02745,-0.02022,-0.00693
-36.34,-0.25327,-0.20387,-0.17255,-0.13297,-0.10184,-0.07752,-0.0524,-0.03626,-0.02742,-0.02009,-0.00691
-35.781,-0.25036,-0.20141,-0.17062,-0.13174,-0.10088,-0.07686,-0.05198,-0.03602,-0.0274,-0.01995,-0.00688
-35.222,-0.24744,-0.19894,-0.16866,-0.13049,-0.09992,-0.07618,-0.05156,-0.03579,-0.02737,-0.01981,-0.00686
-34.662,-0.24451,-0.19646,-0.16667,-0.12923,-0.09895,-0.07549,-0.05114,-0.03557,-0.02734,-0.01966,-0.00683
-34.103,-0.24156,-0.19397,-0.16466,-0.12794,-0.09797,-0.07478,-0.05072,-0.03536,-0.0273,-0.0195,-0.00681
-33.544,-0.23858,-0.19147,-0.16263,-0.12663,-0.09697,-0.07407,-0.05029,-0.03515,-0.02726,-0.01935,-0.00678
-32.984,-0.23559,-0.18897,-0.16058,-0.12531,-0.09598,-0.07335,-0.04986,-0.03495,-0.02721,-0.01919,-0.00676
-32.425,-0.23257,-0.18645,-0.15851,-0.12396,-0.09497,-0.07261,-0.04944,-0.03475,-0.02715,-0.01902,-0.00673
-31.866,-0.22952,-0.18393,-0.15642,-0.12259,-0.09395,-0.07186,-0.04901,-0.03455,-0.02708,-0.01885,-0.0067
-31.306,-0.22644,-0.18141,-0.15431,-0.1212,-0.09293,-0.07109,-0.04858,-0.03434,-0.027,-0.01868,-0.00667
-30.747,-0.22334,-0.17887,-0.15219,-0.11978,-0.0919,-0.0703,-0.04814,-0.03414,-0.02691,-0.01851,-0.00663
-30.188,-0.22019,-0.17634,-0.15004,-0.11833,-0.09087,-0.06949,-0.04771,-0.03392,-0.0268,-0.01834,-0.0066
-29.628,-0.21702,-0.1738,-0.14788,-0.11687,-0.08983,-0.06865,-0.04727,-0.03371,-0.02668,-0.01816,-0.00657
-29.069,-0.2138,-0.17125,-0.1457,-0.11537,-0.08879,-0.06779,-0.04684,-0.03348,-0.02654,-0.01798,-0.00653
-28.509,-0.21055,-0.1687,-0.1435,-0.11384,-0.08774,-0.06691,-0.0464,-0.03324,-0.02638,-0.0178,-0.00649
-27.95,-0.20725,-0.16615,-0.14129,-0.11229,-0.08669,-0.06599,-0.04595,-0.03298,-0.02621,-0.01761,-0.00645
-27.391,-0.20392,-0.16359,-0.13906,-0.1107,-0.08564,-0.06505,-0.04551,-0.0327,-0.02602,-0.01743,-0.00641
-26.831,-0.20054,-0.16102,-0.13682,-0.10908,-0.08459,-0.06408,-0.04506,-0.03241,-0.02581,-0.01724,-0.00637
-26.272,-0.19712,-0.15844,-0.13456,-0.10742,-0.08353,-0.06309,-0.04461,-0.03208,-0.02558,-0.01705,-0.00632
-25.713,-0.19365,-0.15583,-0.13229,-0.10572,-0.08246,-0.06208,-0.04415,-0.03174,-0.02534,-0.01685,-0.00627
-25.153,-0.19015,-0.15321,-0.13,-0.10397,-0.08139,-0.06105,-0.0437,-0.03137,-0.02508,-0.01666,-0.00622
-24.594,-0.18659,-0.15057,-0.1277,-0.10218,-0.0803,-0.06,-0.04323,-0.03098,-0.0248,-0.01646,-0.00616
-24.035,-0.18299,-0.1479,-0.12538,-0.10034,-0.07919,-0.05894,-0.04276,-0.03056,-0.02451,-0.01626,-0.00611
-23.475,-0.17935,-0.14519,-0.12303,-0.09845,-0.07807,-0.05786,-0.04228,-0.03013,-0.02419,-0.01606,-0.00604
-22.916,-0.17567,-0.14246,-0.12066,-0.0965,-0.07693,-0.05676,-0.04178,-0.02968,-0.02386,-0.01585,-0.00598
-22.357,-0.17195,-0.13969,-0.11826,-0.09449,-0.07576,-0.05564,-0.04126,-0.02922,-0.02351,-0.01564,-0.00591
-21.797,-0.16819,-0.13688,-0.11582,-0.09243,-0.07457,-0.0545,-0.0407,-0.02875,-0.02314,-0.01543,-0.00583
-21.238,-0.1644,-0.13403,-0.11335,-0.09031,-0.07335,-0.05333,-0.04011,-0.02827,-0.02275,-0.01522,-0.00575
-20.679,-0.16058,-0.13113,-0.11085,-0.08815,-0.0721,-0.05215,-0.03947,-0.02779,-0.02234,-0.01501,-0.00566
-20.119,-0.15672,-0.12819,-0.10831,-0.08593,-0.07082,-0.05095,-0.03878,-0.0273,-0.02192,-0.01479,-0.00557
-19.56,-0.15284,-0.1252,-0.10572,-0.08366,-0.0695,-0.04972,-0.03805,-0.02681,-0.02147,-0.01456,-0.00547
-19.001,-0.14892,-0.12216,-0.1031,-0.08136,-0.06813,-0.04847,-0.03727,-0.02632,-0.02101,-0.01433,-0.00536
-18.441,-0.14498,-0.11907,-0.10043,-0.07901,-0.06673,-0.0472,-0.03644,-0.02582,-0.02052,-0.0141,-0.00523
-17.882,-0.141,-0.11593,-0.09772,-0.07664,-0.06528,-0.04591,-0.03556,-0.02532,-0.02002,-0.01386,-0.0051
-17.323,-0.137,-0.11273,-0.09497,-0.07423,-0.06378,-0.04459,-0.03465,-0.02481,-0.01949,-0.01362,-0.00495
-16.763,-0.13297,-0.10948,-0.09217,-0.07182,-0.06224,-0.04326,-0.03372,-0.02429,-0.01895,-0.01337,-0.00478
-16.204,-0.12892,-0.10617,-0.08933,-0.06939,-0.06064,-0.0419,-0.03276,-0.02376,-0.01838,-0.01311,-0.00459
-15.645,-0.12483,-0.10281,-0.08646,-0.06697,-0.05898,-0.04053,-0.03178,-0.02322,-0.0178,-0.01284,-0.00438
-15.085,-0.12073,-0.09938,-0.08354,-0.06456,-0.05727,-0.03913,-0.03079,-0.02267,-0.01719,-0.01255,-0.00415
